"Match","Date","Team","Player ID","Full Name","Role","Played","Runs","Balls","4s","6s","SR","Dismissal","Overs","Maidens","Dots","Runs Conceded","Wickets","Econ","Catches","Stumpings","Run Outs","Pts Bat","Pts Bowl","Pts Field","Pts SR","Pts Econ","Pts XI","Fantasy Points","Source","In Squad List","Bat Order","L1 Recon","L2 Recon","Match Status","Recon Flag","Player Recon"
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:298438","Jason Roy","BAT","Y","0","2","0","0","0","caught","","0","0","0","0","","1","0","0","-2","0","8","0","0","4","10","cricsheet · official","Y","3","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:897549","Will Jacks","AR","Y","2","3","0","0","66.7","caught","","0","0","0","0","","0","0","0","2","0","0","0","0","4","6","cricsheet · official","Y","1","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:296597","James Vince","BAT","Y","17","18","2","0","94.4","bowled","","0","0","0","0","","0","0","0","25","0","0","0","0","4","29","cricsheet · official","Y","2","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:604302","Nicholas Pooran","WK","Y","58","22","5","5","263.6","","","0","0","0","0","","2","0","1","116","0","22","0","0","4","142","cricsheet · official","Y","5","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:914541","Sherfane Rutherford","AR","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:662973","Sam Curran","AR","Y","60","39","5","3","153.8","","2.5","0","4","27","2","10.8","1","0","0","106","76","8","0","0","4","194","cricsheet · official","Y","4","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:550235","Tom Curran","AR","Y","0","0","0","0","","","2.5","0","3","28","1","11.2","0","0","0","0","33","0","0","0","4","37","cricsheet · official","Y","","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:793463","Rashid Khan","AR","Y","0","0","0","0","","","3.3","0","7","34","1","10.2","1","0","0","0","37","8","0","0","4","49","cricsheet · official","Y","","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:277912","Trent Boult","BOWL","Y","0","0","0","0","","","3.3","0","8","17","1","5.1","0","0","1","0","46","6","0","0","4","56","cricsheet · official","Y","","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — MTMILO v MTSUNL","2026-07-21","MTMILO","ci:473191","Richard Gleeson","BOWL","Y","0","0","0","0","","","3.2","0","9","25","4","7.89","0","0","0","0","141","0","0","0","4","145","cricsheet · official","Y","","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
