"Match","Date","Team","Player ID","Full Name","Role","Played","Runs","Balls","4s","6s","SR","Dismissal","Overs","Maidens","Dots","Runs Conceded","Wickets","Econ","Catches","Stumpings","Run Outs","Pts Bat","Pts Bowl","Pts Field","Pts SR","Pts Econ","Pts XI","Fantasy Points","Source","In Squad List","Bat Order","L1 Recon","L2 Recon","Match Status","Recon Flag","Player Recon"
"Match 1 — JK v GG","2026-07-17","JK","ci:784369","Avishka Fernando","BAT","Y","34","21","2","3","161.9","caught","","0","0","0","0","","1","0","0","64","0","8","4","0","4","80","cricsheet · official","Y","1","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1075863","Kamil Mishara","WK","Y","28","14","6","0","200","caught","","0","0","0","0","","0","0","0","56","0","0","6","0","4","66","cricsheet · official","Y","2","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:921509","Ibrahim Zadran","BAT","Y","2","3","0","0","66.7","caught","","0","0","0","0","","1","0","0","2","0","8","0","0","4","14","cricsheet · official","Y","3","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:342619","Bhanuka Rajapaksa","BAT","Y","2","5","0","0","40","caught","","0","0","0","0","","0","0","0","2","0","0","0","0","4","6","cricsheet · official","Y","5","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:56143","Shakib Al Hasan","AR","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1152427","Dunith Wellalage","AR","Y","40","24","4","2","166.7","caught and bowled","3","0","11","10","1","3.33","0","0","0","72","41","0","4","6","4","127","cricsheet · official","Y","6","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1186658","Chamindu Wickramasinghe","AR","Y","24","10","1","3","240","run out","","0","0","0","0","","0","0","0","46","0","0","6","0","4","56","cricsheet · official","Y","8","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1282477","Traveen Mathews","AR","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","✓ clean","⚠ revised: not in official XI","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:538506","Taskin Ahmed","BOWL","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:221140","David Wiese","AR","Y","15","19","0","1","78.9","caught","3","0","7","45","1","15","1","0","0","21","37","8","0","-6","4","64","cricsheet · official","Y","7","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1462402","Kugathas Mathulan","BOWL","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:793007","Dilshan Madushanka","BOWL","Y","0","0","0","0","","","2","0","2","40","0","20","0","0","0","0","2","0","0","-6","4","0","cricsheet · official","Y","","✓ clean","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:1126045","Nishan Madushka","BAT","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
"Match 1 — JK v GG","2026-07-17","JK","ci:960361","Sandeep Lamichhane","BOWL","N","","","","","","","","","","","","","","","","","","","","","","","cricsheet · official","Y","","","✓ complete","COMPLETED_FLAGGED","⚠ official revision pending",""
