"Tour","Match","Date","Player ID","Full Name","Param","Source 1 (cricapi)","Source 2 (ESPN)","Correct Value","Manual Value","Status","Match Key"
"The Hundred Men's Competition 2026","Match 1 — MTMILO v MTSUNL","2026-07-21","ci:211748","Benny Howell","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-21::mi london|sunrisers leeds"
"The Hundred Men's Competition 2026","Match 2 — MTSBR v MTWLF","2026-07-22","ci:772061","Sam Cook","L2","dots 9→8","official cricsheet","","","official revision — approve to apply","2026-07-22::southern brave|welsh fire"
"The Hundred Men's Competition 2026","Match 3 — MTLSP v MTMSG","2026-07-23","ci:1070665","Dewald Brevis","L2","ro 0→1","official cricsheet","","","official revision — approve to apply","2026-07-23::london spirit|manchester super giants"
"The Hundred Men's Competition 2026","Match 3 — MTLSP v MTMSG","2026-07-23","ci:308251","David Willey","L2","conc 0→23; ct 0→1; ro 1→0","official cricsheet","","","official revision — approve to apply","2026-07-23::london spirit|manchester super giants"
"The Hundred Men's Competition 2026","Match 4 — MTBPH v MTTRR","2026-07-24","ci:1099224","Will Smeed","L2","4s 2→3","official cricsheet","","","official revision — approve to apply","2026-07-24::birmingham phoenix|trent rockets"
"The Hundred Men's Competition 2026","Match 9 — MTSBR v MTMILO","2026-07-27","ci:897549","Will Jacks","L2","ct 2→1","official cricsheet","","","official revision — approve to apply","2026-07-27::mi london|southern brave"
"The Hundred Men's Competition 2026","Match 9 — MTSBR v MTMILO","2026-07-27","ci:296597","James Vince","L2","ct 1→2","official cricsheet","","","official revision — approve to apply","2026-07-27::mi london|southern brave"
"The Hundred Women's Competition 2026","Match 1 — WTMILO v WTSUNL","2026-07-21","ci:517572","Lauren Winfield-Hill","L2","st 0→1","official cricsheet","","","official revision — approve to apply","2026-07-21::mi london|sunrisers leeds"
"The Hundred Women's Competition 2026","Match 1 — WTMILO v WTSUNL","2026-07-21","ci:1120320","Cassidy McCarthy","L2","conc 6→2","official cricsheet","","","official revision — approve to apply","2026-07-21::mi london|sunrisers leeds"
"The Hundred Women's Competition 2026","Match 1 — WTMILO v WTSUNL","2026-07-21","ci:1184099","Hannah Baker","L2","conc 12→16","official cricsheet","","","official revision — approve to apply","2026-07-21::mi london|sunrisers leeds"
"The Hundred Women's Competition 2026","Match 2 — WTSBR v WTWLF","2026-07-22","ci:874293","Emily Arlott","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-22::southern brave|welsh fire"
"The Hundred Women's Competition 2026","Match 5 — WTSUNL v WTSBR","2026-07-25","ci:1184176","Jodi Grewcock","L2","ro 0→1","official cricsheet","","","official revision — approve to apply","2026-07-25::southern brave|sunrisers leeds"
"The Hundred Women's Competition 2026","Match 6 — WTWLF v WTMILO","2026-07-25","ci:874293","Emily Arlott","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-25::mi london|welsh fire"
"The Hundred Women's Competition 2026","Match 6 — WTWLF v WTMILO","2026-07-25","ci:715351","Hollie Armitage","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-25::mi london|welsh fire"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:381258","Beth Mooney","L2","st 0→1","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:858809","Ashleigh Gardner","L2","conc 17→24","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:469879","Georgia Adams","L2","conc 10→17","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:916037","Bess Heath","L2","runs 30→31","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:418423","Kim Garth","L2","conc 14→27","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:537440","Samantha Bates","L2","conc 19→30","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 8 — WTTRR v WTLSP","2026-07-26","ci:939249","Nadine de Klerk","L2","conc 29→30","official cricsheet","","","official revision — approve to apply","2026-07-26::london spirit|trent rockets"
"The Hundred Women's Competition 2026","Match 10 — WTSUNL v WTMSG","2026-07-28","ci:374936","Jess Jonassen","L2","ro 0→1","official cricsheet","","","official revision — approve to apply","2026-07-28::manchester super giants|sunrisers leeds"
"Lanka Premier League 2026","Match 1 — JK v GG","2026-07-17","ci:1203669","Akif Javed","L2","dots 13→12","official cricsheet","","","official revision — approve to apply","2026-07-17::galle gallants|jaffna kings"
"Lanka Premier League 2026","Match 1 — JK v GG","2026-07-17","ci:1153149","Vijayakanth Viyaskanth","L2","conc 0→32; ct 1→3","official cricsheet","","","official revision — approve to apply","2026-07-17::galle gallants|jaffna kings"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:792519","Dhananjaya Lakshan","L2","dots 0→3","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:352048","Gulbadin Naib","L2","dots 0→3","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:552152","Dushmantha Chameera","L2","dots 0→9","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:1138316","Maheesh Theekshana","L2","dots 0→9","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:1185538","Mohammad Wasim","L2","dots 0→7","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:784375","Vishva Kumara","L2","dots 0→9","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:955235","Nuwan Thushara","L2","dots 0→8","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:49764","Angelo Mathews","L2","dots 0→1","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:721041","Dushan Hemantha","L2","dots 0→7","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:786925","Asitha Fernando","L2","dots 0→3","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 2 — KR v DS","2026-07-18","ci:1072470","Shaheen Shah Afridi","L2","dots 0→6","official cricsheet","","","official revision — approve to apply","2026-07-18::dambulla sixers|kandy royals"
"Lanka Premier League 2026","Match 3 — GG v CK","2026-07-18","ci:1282475","Malsha Tharupathi","L2","conc 32→20","official cricsheet","","","official revision — approve to apply","2026-07-18::colombo kaps|galle gallants"
"Lanka Premier League 2026","Match 3 — GG v CK","2026-07-18","ci:1282476","Wanuja Sahan","L2","conc 7→19","official cricsheet","","","official revision — approve to apply","2026-07-18::colombo kaps|galle gallants"
"Lanka Premier League 2026","Match 3 — GG v CK","2026-07-18","ci:623695","Chamika Karunaratne","L2","dots 5→4","official cricsheet","","","official revision — approve to apply","2026-07-18::colombo kaps|galle gallants"
"Lanka Premier League 2026","Match 4 — DS v JK","2026-07-19","ci:647785","Sahibzada Farhan","L2","ro 0→1","official cricsheet","","","official revision — approve to apply","2026-07-19::dambulla sixers|jaffna kings"
"Lanka Premier League 2026","Match 4 — DS v JK","2026-07-19","ci:596436","Marques Ackerman","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-19::dambulla sixers|jaffna kings"
"Lanka Premier League 2026","Match 5 — CK v KR","2026-07-19","ci:1364328","Garuka Sanketh","L2","ct 1→0","official cricsheet","","","official revision — approve to apply","2026-07-19::colombo kaps|kandy royals"
"Lanka Premier League 2026","Match 7 — JK v CK","2026-07-22","ci:379887","Lizaad Williams","L2","conc 30→29","official cricsheet","","","official revision — approve to apply","2026-07-22::colombo kaps|jaffna kings"
"Lanka Premier League 2026","Match 7 — JK v CK","2026-07-22","ci:1282476","Wanuja Sahan","L2","runs 35→34","official cricsheet","","","official revision — approve to apply","2026-07-22::colombo kaps|jaffna kings"
"Lanka Premier League 2026","Match 7 — JK v CK","2026-07-22","ci:926629","Hasan Mahmud","L2","dots 9→8","official cricsheet","","","official revision — approve to apply","2026-07-22::colombo kaps|jaffna kings"
"Lanka Premier League 2026","Match 8 — DS v GG","2026-07-22","ci:596436","Marques Ackerman","L2","conc 0→27","official cricsheet","","","official revision — approve to apply","2026-07-22::dambulla sixers|galle gallants"
"Lanka Premier League 2026","Match 9 — KR v CK","2026-07-23","ci:681681","Janith Liyanage","L2","4s 3→4","official cricsheet","","","official revision — approve to apply","2026-07-23::colombo kaps|kandy royals"
"Lanka Premier League 2026","Match 10 — GG v JK","2026-07-23","ci:801817","Mohommed Shiraz","L2","dots 0→9","official cricsheet","","","official revision — approve to apply","2026-07-23::galle gallants|jaffna kings"
"Lanka Premier League 2026","Match 12 — DS v CK","2026-07-25","ci:596436","Marques Ackerman","L2","conc 0→13","official cricsheet","","","official revision — approve to apply","2026-07-25::colombo kaps|dambulla sixers"
"Lanka Premier League 2026","Match 13 — KR v JK","2026-07-26","ci:793007","Dilshan Madushanka","L2","conc 20→22; ct 1→2","official cricsheet","","","official revision — approve to apply","2026-07-26::jaffna kings|kandy royals"
"Lanka Premier League 2026","Match 13 — KR v JK","2026-07-26","ci:784369","Avishka Fernando","L2","ct 1→0","official cricsheet","","","official revision — approve to apply","2026-07-26::jaffna kings|kandy royals"
"Lanka Premier League 2026","Match 13 — KR v JK","2026-07-26","ci:801817","Mohommed Shiraz","L2","wkts 2→3; dots 0→11; conc 9→18","official cricsheet","","","official revision — approve to apply","2026-07-26::jaffna kings|kandy royals"
"Lanka Premier League 2026","Match 13 — KR v JK","2026-07-26","ci:1364328","Garuka Sanketh","L2","runs 0→1","official cricsheet","","","official revision — approve to apply","2026-07-26::jaffna kings|kandy royals"
"Lanka Premier League 2026","Match 14 — GG v DS","2026-07-26","ci:1203669","Akif Javed","L2","dots 12→11","official cricsheet","","","official revision — approve to apply","2026-07-26::dambulla sixers|galle gallants"
"Lanka Premier League 2026","Match 14 — GG v DS","2026-07-26","ci:1175296","Sachindu Colombage","L2","wkts 0→3; conc 0→17; ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-26::dambulla sixers|galle gallants"
"Lanka Premier League 2026","Match 14 — GG v DS","2026-07-26","ci:596436","Marques Ackerman","L2","ct 0→1","official cricsheet","","","official revision — approve to apply","2026-07-26::dambulla sixers|galle gallants"
