Match,Date,Team,Player ID,Full Name,Role,Played,Runs,Balls,4s,6s,SR,Dismissal,Overs,Maidens,Dots,Runs Conceded,Wickets,Econ,Catches,Stumpings,Run Outs,Pts Bat,Pts Bowl,Pts Field,Pts SR,Pts Econ,Pts XI,Fantasy Points,Source,In Squad List,Bat Order,L1 Recon,L2 Recon,Match Status,Recon Flag,Player Recon
Match 1 — JK v GG,2026-07-17,JK,slug:avishka-fernando,Avishka Fernando,BAT,Y,34,21,2,3,161.9,c Mohammad Nawaz b Eshan Malinga,,0,0,0,0,,1,0,0,64,0,8,4,0,4,80,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,1,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,65cebd5d,Kamil Mishara,WK,Y,28,14,6,0,200.0,c V Viyaskanth b Akif Javed,,0,0,0,0,,0,0,0,56,0,0,6,0,4,66,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,2,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,d4550956,Ibrahim Zadran,BAT,Y,2,3,0,0,66.7,c V Viyaskanth b Eshan Malinga,,0,0,0,0,,1,0,0,2,0,8,0,0,4,14,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,3,✓ clean,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:bhanuka-rajapaksa,Bhanuka Rajapaksa,BAT,Y,2,5,0,0,40.0,c Dasun Shanaka b Charith Asalanka,,0,0,0,0,,0,0,0,2,0,0,0,0,4,6,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,5,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,7dc35884,Shakib Al Hasan,AR,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,736123bb,Dunith Wellalage,AR,Y,40,24,4,2,166.7,c and b V Viyaskanth,3.0,0,11,10,1,3.33,0,0,0,72,41,0,4,6,4,127,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,6,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:chamindu-wickramasinghe,Chamindu Wickramasinghe,AR,Y,24,10,1,3,240.0,run out ((sub)Virandeep Singh),,0,0,0,0,,0,0,0,46,0,0,6,0,4,56,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,8,✓ clean,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:traveen-mathews,Traveen Mathews,AR,Y,6,7,1,0,85.7,b Eshan Malinga,4.0,0,0,38,0,9.5,0,0,0,10,0,0,0,0,4,14,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,10,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,ef18b66e,Taskin Ahmed,BOWL,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,aa8d28ae,David Wiese,AR,Y,15,19,0,1,78.9,c Sahan Arachchige b Akif Javed,3.0,0,7,45,1,15.0,1,0,0,21,37,8,0,-6,4,64,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,7,✓ clean,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:kugathas-mathulan,Kugathas Mathulan,BOWL,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:dilshan-madushanka,Dilshan Madushanka,BOWL,Y,0,0,0,0,,,2.0,0,2,40,0,20.0,0,0,0,0,2,0,0,-6,4,0,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:nishan-madushka,Nishan Madushka,BAT,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,b410bd3d,Sandeep Lamichhane,BOWL,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,98ae73b1,Piyush Chawla,BOWL,Y,7,5,0,1,140.0,c C Karunaratne b Dasun Shanaka,4.0,0,7,43,2,10.75,1,0,0,13,67,8,0,-2,4,90,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,9,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,f0e293b0,Zahoor Khan,BOWL,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:lizaad-williams,Lizaad Williams,BOWL,Y,0,2,0,0,0.0,,3.0,0,8,28,2,9.33,0,0,0,0,68,0,0,0,4,72,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,11,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:nuwanidu-fernando,Nuwanidu Fernando,BAT,Y,4,10,0,0,40.0,c Mehidy Hasan Miraz b Eshan Malinga,1.0,0,2,7,0,7.0,2,0,0,4,2,16,-6,0,4,20,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,4,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,cdac5a3d,Mohommed Shiraz,BOWL,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
Match 1 — JK v GG,2026-07-17,JK,slug:praveen-manisha,Praveen Manisha,BAT,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,LIVE,⏳ pending recon approval (1 player),
