Match,Date,Team,Player ID,Full Name,Role,Played,Runs,Balls,4s,6s,SR,Dismissal,Overs,Maidens,Dots,Runs Conceded,Wickets,Econ,Catches,Stumpings,Run Outs,Pts Bat,Pts Bowl,Pts Field,Pts SR,Pts Econ,Pts XI,Fantasy Points,Source,In Squad List,Bat Order,L1 Recon,L2 Recon,Match Status,Recon Flag,Player Recon
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,slug:jason-roy,Jason Roy,BAT,Y,0,2,0,0,0.0,c Mitchell Marsh b Brydon Carse,,0,0,0,0,,1,0,0,-2,0,8,0,0,4,10,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,3,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,9caf69a1,Will Jacks,AR,Y,2,3,0,0,66.7,c Howell b Brydon Carse,,0,0,0,0,,0,0,0,2,0,0,0,0,4,6,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,1,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,a15618fe,James Vince,BAT,Y,17,18,2,0,94.4,b Nathan Ellis,,0,0,0,0,,0,0,0,25,0,0,0,0,4,29,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,2,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,3241e3fd,Nicholas Pooran,WK,Y,58,22,5,5,263.6,,,0,0,0,0,,2,0,1,116,0,22,6,0,4,148,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,5,✓ clean,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,slug:sherfane-rutherford,Sherfane Rutherford,AR,N,,,,,,,,,,,,,,,,,,,,,,,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,e94915e6,Sam Curran,AR,Y,60,39,5,3,153.8,,,0,4,27,2,,1,0,0,106,0,8,4,0,4,122,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,4,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,slug:tom-curran,Tom Curran,AR,Y,0,0,0,0,,,,0,3,28,1,,0,0,0,0,0,0,0,0,4,4,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,slug:rashid-khan,Rashid Khan,AR,Y,0,0,0,0,,,,0,7,34,1,,1,0,0,0,0,8,0,0,4,12,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,a818c1be,Trent Boult,BOWL,Y,0,0,0,0,,,,0,8,17,1,,0,0,1,0,0,6,0,0,4,10,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,✓ clean,⏳ pending official,COMPLETED,,
Match 1 — MTMILO v MTSUNL,2026-07-21,MTMILO,402f8494,Richard Gleeson,BOWL,Y,0,0,0,0,,,,0,9,25,4,,0,0,0,0,0,0,0,0,4,4,"cricapi + ESPN dots/XI · ⏳ provisional (dots unverified, awaiting cricsheet)",Y,,,⏳ pending official,COMPLETED,,
